做做题	zuo'zuo'ti
灾备	zai'bei
传纸条	chuan'zhi'tiao
带感	dai'gan
工签	gong'qian
转推	zhuan'tui
夜跑	ye'pao
惯着	guan'zhe
撕逼	si'bi
死斗	si'dou
常亮	chang'liang
不可回收	bu'ke'hui'shou
花臂	hua'bi
花臂男	hua'bi'nan
爆表	bao'biao
锁区	suo'qu
右箭头	you'jian'tou
今日份	jin'ri'fen
今日份的	jin'ri'fen'de
挖孔屏	wa'kong'ping
挖孔	wa'kong
机皇	ji'huang
闹掰	nao'bai
闹掰了	nao'bai'le
土澳	tu'ao
为爱鼓掌	wei'ai'gu'zhang
吻技	wen'ji
吻技好	wen'ji'hao
权游	quan'you
龙妈	long'ma
配饭	pei'fan
泪崩	lei'beng
韵达	yun'da
菜鸡	cai'ji
那啥	na'sha
宅寂	zhai'ji
死侍	si'shi
拉清单	la'qing'dan
绿联	lv'lian
配速	pei'su
好嘞	hao'lei
得嘞	de'lei
真哒	zhen'da
挂马	gua'ma
编程随想	bian'cheng'sui'xiang
匿名术	ni'ming'shu
这两招	zhe'liang'zhao
女孩纸	nv'hai'zhi
侧栏	ce'lan
有吃的	you'chi'de
加戏	jia'xi
槽点	cao'dian
手滑	shou'hua
交规	jiao'gui
日了狗	ri'le'gou
日了狗了	ri'le'gou'le
递签	di'qian
福利姬	fu'li'ji
福利群	fu'li'qun
重启试试	chong'qi'shi'shi
追评	zhui'ping
图床	tu'chuang
想吃的	xiang'chi'de
犯的罪	fan'de'zui
本地号	ben'di'hao
特别吵	te'bie'chao
高玩	gao'wan
进地铁	jin'di'tie
还成	hai'cheng
氪金	ke'jin
吃土	chi'tu
恰饭	qia'fan
一小碗	yi'xiao'wan
最高线	zui'gao'xian
这几代	zhe'ji'dai
发快递	fa'kuai'di
订阅量	ding'yue'liang
裸域	luo'yu
渣男	zha'nan
渣女	zha'nv
光猫	guang'mao
优联	you'lian
掉漆	diao'qi
剁手	duo'shou
日抛	ri'pao
月抛	yue'pao
年抛	nian'pao
甩棍	shuai'gun
奔现	ben'xian
壁咚	bi'dong
口嗨	kou'hai
干别的	gan'bie'de
彩虹屁	cai'hong'pi
站方	zhan'fang
掰不开	bai'bu'kai
怂包	song'bao
小粉红	xiao'fen'hong
插排	cha'pai
削发器	xiao'fa'qi
电子签	dian'zi'qian
长租	chang'zu
抽纸	chou'zhi
拼手气	pin'shou'qi
痛呼	tong'hu
裸连	luo'lian
肉偿	rou'chang
踩奶	cai'nai
磅金	bang'jin
